lead_id,connector_id,region,segment,product,lead_date,approved,disbursed,tat_days,disbursal_amount
LD10000,CN1005,Delhi NCR,Direct Sales,Personal Loan,2026-01-07,False,False,,0.0
LD10001,CN1028,Mumbai,Aggregator,Home Loan,2026-02-27,True,True,25.0,2236000.0
LD10002,CN1013,Chennai,Aggregator,Personal Loan,2026-04-19,True,True,9.0,1288000.0
LD10003,CN1036,Hyderabad,DSA,Personal Loan,2026-05-24,True,True,19.0,1078000.0
LD10004,CN1049,Pune,Digital Partner,Business Loan,2026-05-31,True,False,7.0,0.0
LD10005,CN1023,Delhi NCR,Digital Partner,Business Loan,2026-03-29,True,True,12.0,300000.0
LD10006,CN1014,Delhi NCR,Aggregator,Business Loan,2026-01-25,True,True,10.0,2027000.0
LD10007,CN1059,Pune,DSA,Business Loan,2026-05-18,True,False,4.0,0.0
LD10008,CN1053,Mumbai,DSA,LAP,2026-04-03,True,True,3.0,1670000.0
LD10009,CN1057,Pune,DSA,LAP,2026-01-21,False,False,,0.0
LD10010,CN1015,Pune,Aggregator,Personal Loan,2026-04-08,True,True,13.0,449000.0
LD10011,CN1051,Delhi NCR,DSA,LAP,2026-02-23,False,False,,0.0
LD10012,CN1040,Mumbai,Digital Partner,Personal Loan,2026-02-13,True,True,16.0,980000.0
LD10013,CN1033,Pune,Aggregator,Home Loan,2026-03-25,False,False,,0.0
LD10014,CN1031,Delhi NCR,Direct Sales,Personal Loan,2026-02-28,False,False,,0.0
LD10015,CN1041,Bangalore,DSA,LAP,2026-04-13,True,True,20.0,2197000.0
LD10016,CN1012,Hyderabad,Aggregator,LAP,2026-02-24,False,False,,0.0
LD10017,CN1043,Bangalore,Direct Sales,Business Loan,2026-04-28,True,True,25.0,1425000.0
LD10018,CN1007,Bangalore,DSA,LAP,2026-05-30,True,True,13.0,587000.0
LD10019,CN1046,Delhi NCR,Aggregator,Home Loan,2026-05-11,True,True,5.0,424000.0
LD10020,CN1038,Pune,Digital Partner,Home Loan,2026-04-19,True,True,21.0,2490000.0
LD10021,CN1031,Delhi NCR,Direct Sales,LAP,2026-05-22,False,False,,0.0
LD10022,CN1012,Hyderabad,Aggregator,Personal Loan,2026-01-30,False,False,,0.0
LD10023,CN1037,Bangalore,Aggregator,LAP,2026-03-29,True,True,16.0,58000.0
LD10024,CN1041,Bangalore,DSA,LAP,2026-05-09,False,False,,0.0
LD10025,CN1006,Bangalore,Aggregator,Personal Loan,2026-03-18,False,False,,0.0
LD10026,CN1052,Delhi NCR,DSA,Home Loan,2026-02-09,True,True,18.0,2300000.0
LD10027,CN1012,Hyderabad,Aggregator,LAP,2026-05-06,True,False,11.0,0.0
LD10028,CN1037,Bangalore,Aggregator,Home Loan,2026-01-15,True,True,4.0,260000.0
LD10029,CN1049,Pune,Digital Partner,Business Loan,2026-01-18,False,False,,0.0
LD10030,CN1036,Hyderabad,DSA,Home Loan,2026-02-02,False,False,,0.0
LD10031,CN1012,Hyderabad,Aggregator,Home Loan,2026-03-09,False,False,,0.0
LD10032,CN1033,Pune,Aggregator,Business Loan,2026-02-24,False,False,,0.0
LD10033,CN1015,Pune,Aggregator,Home Loan,2026-03-21,True,True,13.0,1123000.0
LD10034,CN1056,Delhi NCR,DSA,Business Loan,2026-01-31,True,True,2.0,1491000.0
LD10035,CN1012,Hyderabad,Aggregator,Home Loan,2026-05-31,True,True,22.0,194000.0
LD10036,CN1041,Bangalore,DSA,Personal Loan,2026-01-09,False,False,,0.0
LD10037,CN1054,Delhi NCR,Direct Sales,Personal Loan,2026-05-12,True,True,8.0,1371000.0
LD10038,CN1017,Hyderabad,Digital Partner,Business Loan,2026-03-04,False,False,,0.0
LD10039,CN1030,Bangalore,Digital Partner,Business Loan,2026-02-18,True,True,13.0,1088000.0
LD10040,CN1047,Pune,DSA,Business Loan,2026-01-14,False,False,,0.0
LD10041,CN1059,Pune,DSA,Personal Loan,2026-01-16,True,True,5.0,659000.0
LD10042,CN1005,Delhi NCR,Direct Sales,Home Loan,2026-05-18,True,True,10.0,1183000.0
LD10043,CN1026,Pune,Aggregator,Personal Loan,2026-04-24,False,False,,0.0
LD10044,CN1008,Bangalore,Digital Partner,Personal Loan,2026-01-13,False,False,,0.0
LD10045,CN1027,Mumbai,Digital Partner,Personal Loan,2026-01-24,False,False,,0.0
LD10046,CN1001,Chennai,Digital Partner,Home Loan,2026-02-12,False,False,,0.0
LD10047,CN1026,Pune,Aggregator,Business Loan,2026-02-24,False,False,,0.0
LD10048,CN1028,Mumbai,Aggregator,Personal Loan,2026-02-12,True,False,10.0,0.0
LD10049,CN1036,Hyderabad,DSA,Business Loan,2026-03-15,True,False,19.0,0.0
LD10050,CN1025,Chennai,Aggregator,Business Loan,2026-02-09,True,True,3.0,1469000.0
LD10051,CN1017,Hyderabad,Digital Partner,Personal Loan,2026-03-22,True,True,18.0,2302000.0
LD10052,CN1027,Mumbai,Digital Partner,Home Loan,2026-01-15,False,False,,0.0
LD10053,CN1005,Delhi NCR,Direct Sales,Personal Loan,2026-02-17,True,True,9.0,1039000.0
LD10054,CN1033,Pune,Aggregator,Home Loan,2026-05-29,False,False,,0.0
LD10055,CN1001,Chennai,Digital Partner,Personal Loan,2026-04-18,False,False,,0.0
LD10056,CN1033,Pune,Aggregator,LAP,2026-03-08,True,True,9.0,701000.0
LD10057,CN1049,Pune,Digital Partner,Home Loan,2026-03-18,True,False,4.0,0.0
LD10058,CN1051,Delhi NCR,DSA,Personal Loan,2026-04-28,True,True,5.0,229000.0
LD10059,CN1025,Chennai,Aggregator,Home Loan,2026-05-10,False,False,,0.0
LD10060,CN1042,Chennai,Aggregator,LAP,2026-01-18,False,False,,0.0
LD10061,CN1042,Chennai,Aggregator,LAP,2026-03-14,True,True,24.0,791000.0
LD10062,CN1002,Bangalore,DSA,Personal Loan,2026-05-22,True,True,6.0,698000.0
LD10063,CN1034,Hyderabad,Direct Sales,Personal Loan,2026-05-22,True,True,8.0,1808000.0
LD10064,CN1018,Delhi NCR,Aggregator,Home Loan,2026-03-09,False,False,,0.0
LD10065,CN1001,Chennai,Digital Partner,LAP,2026-01-14,True,True,10.0,158000.0
LD10066,CN1035,Hyderabad,Digital Partner,LAP,2026-02-03,True,True,25.0,1132000.0
LD10067,CN1025,Chennai,Aggregator,Business Loan,2026-05-24,True,True,24.0,2265000.0
LD10068,CN1032,Pune,Digital Partner,Personal Loan,2026-04-05,True,True,6.0,152000.0
LD10069,CN1034,Hyderabad,Direct Sales,LAP,2026-01-11,False,False,,0.0
LD10070,CN1055,Chennai,DSA,Home Loan,2026-03-05,False,False,,0.0
LD10071,CN1004,Chennai,Direct Sales,LAP,2026-05-24,False,False,,0.0
LD10072,CN1048,Mumbai,Digital Partner,Business Loan,2026-02-09,False,False,,0.0
LD10073,CN1027,Mumbai,Digital Partner,Home Loan,2026-02-11,False,False,,0.0
LD10074,CN1004,Chennai,Direct Sales,Home Loan,2026-04-16,True,True,12.0,1967000.0
LD10075,CN1011,Bangalore,Digital Partner,Business Loan,2026-03-05,True,True,5.0,987000.0
LD10076,CN1011,Bangalore,Digital Partner,Personal Loan,2026-05-01,True,True,16.0,907000.0
LD10077,CN1025,Chennai,Aggregator,Home Loan,2026-02-27,True,True,12.0,733000.0
LD10078,CN1003,Chennai,Digital Partner,Personal Loan,2026-03-13,True,True,23.0,2454000.0
LD10079,CN1026,Pune,Aggregator,LAP,2026-01-08,True,False,7.0,0.0
LD10080,CN1045,Mumbai,Digital Partner,LAP,2026-01-10,True,True,25.0,1977000.0
LD10081,CN1056,Delhi NCR,DSA,Business Loan,2026-05-11,True,False,8.0,0.0
LD10082,CN1029,Bangalore,Direct Sales,LAP,2026-01-12,False,False,,0.0
LD10083,CN1038,Pune,Digital Partner,Personal Loan,2026-05-14,False,False,,0.0
LD10084,CN1040,Mumbai,Digital Partner,Home Loan,2026-04-04,True,False,12.0,0.0
LD10085,CN1038,Pune,Digital Partner,LAP,2026-02-01,False,False,,0.0
LD10086,CN1029,Bangalore,Direct Sales,LAP,2026-05-10,True,True,14.0,1758000.0
LD10087,CN1010,Pune,Digital Partner,Home Loan,2026-02-19,True,False,23.0,0.0
LD10088,CN1004,Chennai,Direct Sales,Home Loan,2026-05-26,True,True,2.0,794000.0
LD10089,CN1029,Bangalore,Direct Sales,Home Loan,2026-04-21,False,False,,0.0
LD10090,CN1012,Hyderabad,Aggregator,LAP,2026-04-30,True,True,18.0,1209000.0
LD10091,CN1047,Pune,DSA,Home Loan,2026-01-22,True,True,21.0,871000.0
LD10092,CN1006,Bangalore,Aggregator,Home Loan,2026-03-21,True,True,2.0,163000.0
LD10093,CN1008,Bangalore,Digital Partner,Business Loan,2026-01-19,True,False,20.0,0.0
LD10094,CN1023,Delhi NCR,Digital Partner,Home Loan,2026-04-09,True,True,22.0,1735000.0
LD10095,CN1021,Mumbai,Aggregator,Personal Loan,2026-04-19,True,True,24.0,1319000.0
LD10096,CN1037,Bangalore,Aggregator,Personal Loan,2026-05-23,True,True,16.0,377000.0
LD10097,CN1036,Hyderabad,DSA,Business Loan,2026-05-16,False,False,,0.0
LD10098,CN1049,Pune,Digital Partner,LAP,2026-04-24,True,True,18.0,1096000.0
LD10099,CN1045,Mumbai,Digital Partner,Business Loan,2026-02-10,False,False,,0.0
LD10100,CN1047,Pune,DSA,Business Loan,2026-04-26,True,True,22.0,729000.0
LD10101,CN1056,Delhi NCR,DSA,Business Loan,2026-03-03,True,True,11.0,625000.0
LD10102,CN1035,Hyderabad,Digital Partner,LAP,2026-03-23,False,False,,0.0
LD10103,CN1054,Delhi NCR,Direct Sales,Personal Loan,2026-02-05,True,True,6.0,1781000.0
LD10104,CN1012,Hyderabad,Aggregator,Personal Loan,2026-04-17,True,True,15.0,203000.0
LD10105,CN1053,Mumbai,DSA,Business Loan,2026-04-10,False,False,,0.0
LD10106,CN1017,Hyderabad,Digital Partner,Personal Loan,2026-05-28,True,True,13.0,782000.0
LD10107,CN1055,Chennai,DSA,Business Loan,2026-04-18,False,False,,0.0
LD10108,CN1031,Delhi NCR,Direct Sales,Home Loan,2026-05-05,True,True,2.0,1003000.0
LD10109,CN1003,Chennai,Digital Partner,Business Loan,2026-02-12,False,False,,0.0
LD10110,CN1031,Delhi NCR,Direct Sales,Home Loan,2026-05-17,True,True,20.0,1674000.0
LD10111,CN1000,Pune,Direct Sales,Personal Loan,2026-04-20,True,True,3.0,687000.0
LD10112,CN1000,Pune,Direct Sales,LAP,2026-02-24,True,True,14.0,732000.0
LD10113,CN1024,Hyderabad,Aggregator,Business Loan,2026-03-06,False,False,,0.0
LD10114,CN1012,Hyderabad,Aggregator,Business Loan,2026-01-05,False,False,,0.0
LD10115,CN1025,Chennai,Aggregator,Personal Loan,2026-03-31,True,True,22.0,149000.0
LD10116,CN1032,Pune,Digital Partner,Personal Loan,2026-03-05,True,True,6.0,634000.0
LD10117,CN1040,Mumbai,Digital Partner,Business Loan,2026-01-30,True,True,24.0,678000.0
LD10118,CN1035,Hyderabad,Digital Partner,LAP,2026-02-12,True,False,24.0,0.0
LD10119,CN1051,Delhi NCR,DSA,Personal Loan,2026-02-11,False,False,,0.0
LD10120,CN1012,Hyderabad,Aggregator,Personal Loan,2026-05-29,True,True,23.0,2275000.0
LD10121,CN1000,Pune,Direct Sales,Business Loan,2026-04-12,False,False,,0.0
LD10122,CN1032,Pune,Digital Partner,Home Loan,2026-01-20,True,True,9.0,300000.0
LD10123,CN1015,Pune,Aggregator,LAP,2026-01-31,False,False,,0.0
LD10124,CN1043,Bangalore,Direct Sales,Personal Loan,2026-03-30,True,True,4.0,1290000.0
LD10125,CN1052,Delhi NCR,DSA,LAP,2026-01-04,False,False,,0.0
LD10126,CN1045,Mumbai,Digital Partner,Business Loan,2026-01-28,True,True,16.0,1783000.0
LD10127,CN1047,Pune,DSA,Business Loan,2026-02-15,False,False,,0.0
LD10128,CN1009,Chennai,Aggregator,LAP,2026-05-18,False,False,,0.0
LD10129,CN1028,Mumbai,Aggregator,Business Loan,2026-04-22,False,False,,0.0
LD10130,CN1007,Bangalore,DSA,LAP,2026-03-24,False,False,,0.0
LD10131,CN1007,Bangalore,DSA,Personal Loan,2026-03-13,False,False,,0.0
LD10132,CN1020,Chennai,Direct Sales,Home Loan,2026-04-29,False,False,,0.0
LD10133,CN1027,Mumbai,Digital Partner,Business Loan,2026-03-28,True,False,7.0,0.0
LD10134,CN1043,Bangalore,Direct Sales,Business Loan,2026-02-24,True,True,10.0,2207000.0
LD10135,CN1031,Delhi NCR,Direct Sales,LAP,2026-05-23,True,False,4.0,0.0
LD10136,CN1019,Pune,DSA,Home Loan,2026-04-15,True,True,24.0,1216000.0
LD10137,CN1017,Hyderabad,Digital Partner,Business Loan,2026-04-25,False,False,,0.0
LD10138,CN1055,Chennai,DSA,Personal Loan,2026-03-17,True,True,11.0,1677000.0
LD10139,CN1053,Mumbai,DSA,LAP,2026-05-02,True,True,25.0,1398000.0
LD10140,CN1054,Delhi NCR,Direct Sales,LAP,2026-04-27,True,True,5.0,1817000.0
LD10141,CN1044,Chennai,DSA,LAP,2026-01-31,False,False,,0.0
LD10142,CN1014,Delhi NCR,Aggregator,Home Loan,2026-02-19,True,True,25.0,1494000.0
LD10143,CN1056,Delhi NCR,DSA,LAP,2026-01-26,False,False,,0.0
LD10144,CN1019,Pune,DSA,LAP,2026-02-28,True,True,24.0,1359000.0
LD10145,CN1023,Delhi NCR,Digital Partner,LAP,2026-01-12,False,False,,0.0
LD10146,CN1059,Pune,DSA,LAP,2026-02-02,True,True,5.0,2188000.0
LD10147,CN1017,Hyderabad,Digital Partner,LAP,2026-05-01,True,True,3.0,669000.0
LD10148,CN1053,Mumbai,DSA,Business Loan,2026-01-30,False,False,,0.0
LD10149,CN1059,Pune,DSA,Business Loan,2026-05-06,True,True,3.0,422000.0
LD10150,CN1037,Bangalore,Aggregator,LAP,2026-01-22,False,False,,0.0
LD10151,CN1006,Bangalore,Aggregator,Personal Loan,2026-05-23,False,False,,0.0
LD10152,CN1051,Delhi NCR,DSA,Home Loan,2026-05-14,True,False,11.0,0.0
LD10153,CN1051,Delhi NCR,DSA,Business Loan,2026-03-20,True,True,25.0,293000.0
LD10154,CN1025,Chennai,Aggregator,Home Loan,2026-02-24,False,False,,0.0
LD10155,CN1053,Mumbai,DSA,Personal Loan,2026-02-10,True,True,7.0,57000.0
LD10156,CN1020,Chennai,Direct Sales,Business Loan,2026-05-01,True,True,24.0,743000.0
LD10157,CN1025,Chennai,Aggregator,Business Loan,2026-01-19,False,False,,0.0
LD10158,CN1053,Mumbai,DSA,LAP,2026-05-31,False,False,,0.0
LD10159,CN1001,Chennai,Digital Partner,Home Loan,2026-04-19,True,True,6.0,2276000.0
LD10160,CN1019,Pune,DSA,Home Loan,2026-01-19,True,True,21.0,1885000.0
LD10161,CN1039,Pune,DSA,LAP,2026-04-23,True,True,24.0,1036000.0
LD10162,CN1051,Delhi NCR,DSA,LAP,2026-05-09,True,True,21.0,148000.0
LD10163,CN1050,Hyderabad,Digital Partner,Business Loan,2026-03-24,True,True,9.0,2407000.0
LD10164,CN1008,Bangalore,Digital Partner,Personal Loan,2026-03-10,True,True,7.0,1203000.0
LD10165,CN1050,Hyderabad,Digital Partner,Business Loan,2026-03-13,True,True,22.0,2045000.0
LD10166,CN1054,Delhi NCR,Direct Sales,Personal Loan,2026-05-01,True,True,23.0,306000.0
LD10167,CN1029,Bangalore,Direct Sales,Home Loan,2026-03-26,True,True,23.0,2366000.0
LD10168,CN1025,Chennai,Aggregator,Personal Loan,2026-04-27,True,True,5.0,2427000.0
LD10169,CN1056,Delhi NCR,DSA,Business Loan,2026-05-12,False,False,,0.0
LD10170,CN1043,Bangalore,Direct Sales,Personal Loan,2026-05-19,True,True,18.0,936000.0
LD10171,CN1017,Hyderabad,Digital Partner,Business Loan,2026-04-24,False,False,,0.0
LD10172,CN1038,Pune,Digital Partner,Home Loan,2026-03-10,True,False,16.0,0.0
LD10173,CN1057,Pune,DSA,Business Loan,2026-02-01,True,True,9.0,1789000.0
LD10174,CN1005,Delhi NCR,Direct Sales,LAP,2026-05-22,True,True,9.0,2481000.0
LD10175,CN1055,Chennai,DSA,Personal Loan,2026-04-29,False,False,,0.0
LD10176,CN1047,Pune,DSA,Home Loan,2026-05-08,False,False,,0.0
LD10177,CN1049,Pune,Digital Partner,LAP,2026-05-11,False,False,,0.0
LD10178,CN1007,Bangalore,DSA,Business Loan,2026-05-04,False,False,,0.0
LD10179,CN1031,Delhi NCR,Direct Sales,Home Loan,2026-04-27,True,True,21.0,1295000.0
LD10180,CN1020,Chennai,Direct Sales,Home Loan,2026-01-18,True,True,15.0,883000.0
LD10181,CN1037,Bangalore,Aggregator,LAP,2026-01-01,True,True,20.0,1471000.0
LD10182,CN1038,Pune,Digital Partner,Business Loan,2026-02-08,True,True,12.0,1402000.0
LD10183,CN1001,Chennai,Digital Partner,Business Loan,2026-04-27,False,False,,0.0
LD10184,CN1044,Chennai,DSA,Home Loan,2026-03-03,False,False,,0.0
LD10185,CN1011,Bangalore,Digital Partner,Home Loan,2026-04-16,True,True,24.0,2288000.0
LD10186,CN1049,Pune,Digital Partner,Business Loan,2026-04-09,False,False,,0.0
LD10187,CN1043,Bangalore,Direct Sales,Home Loan,2026-05-07,False,False,,0.0
LD10188,CN1027,Mumbai,Digital Partner,Home Loan,2026-05-09,False,False,,0.0
LD10189,CN1019,Pune,DSA,LAP,2026-01-26,False,False,,0.0
LD10190,CN1021,Mumbai,Aggregator,Business Loan,2026-01-26,False,False,,0.0
LD10191,CN1019,Pune,DSA,Business Loan,2026-01-04,False,False,,0.0
LD10192,CN1050,Hyderabad,Digital Partner,Business Loan,2026-02-09,True,True,10.0,879000.0
LD10193,CN1047,Pune,DSA,Business Loan,2026-01-21,False,False,,0.0
LD10194,CN1053,Mumbai,DSA,Business Loan,2026-03-23,True,False,17.0,0.0
LD10195,CN1043,Bangalore,Direct Sales,Personal Loan,2026-01-18,True,True,11.0,2494000.0
LD10196,CN1049,Pune,Digital Partner,Personal Loan,2026-04-22,False,False,,0.0
LD10197,CN1022,Pune,Aggregator,Personal Loan,2026-04-24,True,True,2.0,163000.0
LD10198,CN1017,Hyderabad,Digital Partner,Personal Loan,2026-03-17,True,True,9.0,1351000.0
LD10199,CN1041,Bangalore,DSA,Home Loan,2026-02-13,True,True,14.0,1568000.0
LD10200,CN1004,Chennai,Direct Sales,Home Loan,2026-05-08,False,False,,0.0
LD10201,CN1034,Hyderabad,Direct Sales,Home Loan,2026-03-01,True,True,10.0,1684000.0
LD10202,CN1008,Bangalore,Digital Partner,Business Loan,2026-03-15,False,False,,0.0
LD10203,CN1049,Pune,Digital Partner,Home Loan,2026-01-19,True,True,20.0,783000.0
LD10204,CN1017,Hyderabad,Digital Partner,Business Loan,2026-03-06,True,True,14.0,2141000.0
LD10205,CN1023,Delhi NCR,Digital Partner,Personal Loan,2026-03-02,True,True,11.0,2482000.0
LD10206,CN1010,Pune,Digital Partner,LAP,2026-01-06,False,False,,0.0
LD10207,CN1056,Delhi NCR,DSA,Business Loan,2026-03-12,True,False,25.0,0.0
LD10208,CN1003,Chennai,Digital Partner,Personal Loan,2026-05-08,False,False,,0.0
LD10209,CN1034,Hyderabad,Direct Sales,LAP,2026-02-28,True,True,22.0,516000.0
LD10210,CN1044,Chennai,DSA,LAP,2026-02-05,False,False,,0.0
LD10211,CN1007,Bangalore,DSA,Personal Loan,2026-03-21,False,False,,0.0
LD10212,CN1015,Pune,Aggregator,Personal Loan,2026-05-29,True,True,11.0,850000.0
LD10213,CN1048,Mumbai,Digital Partner,Business Loan,2026-02-14,True,True,13.0,1351000.0
LD10214,CN1053,Mumbai,DSA,LAP,2026-02-12,True,True,17.0,2420000.0
LD10215,CN1005,Delhi NCR,Direct Sales,LAP,2026-03-28,False,False,,0.0
LD10216,CN1049,Pune,Digital Partner,Business Loan,2026-01-20,True,False,23.0,0.0
LD10217,CN1044,Chennai,DSA,Business Loan,2026-05-23,True,True,2.0,698000.0
LD10218,CN1045,Mumbai,Digital Partner,Personal Loan,2026-04-27,True,True,10.0,1482000.0
LD10219,CN1024,Hyderabad,Aggregator,LAP,2026-01-28,False,False,,0.0
LD10220,CN1002,Bangalore,DSA,Business Loan,2026-01-07,True,False,12.0,0.0
LD10221,CN1001,Chennai,Digital Partner,Home Loan,2026-01-17,False,False,,0.0
LD10222,CN1056,Delhi NCR,DSA,Business Loan,2026-03-19,True,True,3.0,2368000.0
LD10223,CN1043,Bangalore,Direct Sales,LAP,2026-05-07,True,True,19.0,382000.0
LD10224,CN1050,Hyderabad,Digital Partner,Business Loan,2026-04-05,False,False,,0.0
LD10225,CN1006,Bangalore,Aggregator,Business Loan,2026-05-31,False,False,,0.0
LD10226,CN1025,Chennai,Aggregator,Home Loan,2026-04-17,False,False,,0.0
LD10227,CN1023,Delhi NCR,Digital Partner,Business Loan,2026-04-15,False,False,,0.0
LD10228,CN1015,Pune,Aggregator,LAP,2026-01-09,False,False,,0.0
LD10229,CN1038,Pune,Digital Partner,Home Loan,2026-04-24,True,True,13.0,293000.0
LD10230,CN1019,Pune,DSA,LAP,2026-05-20,False,False,,0.0
LD10231,CN1019,Pune,DSA,LAP,2026-01-16,True,True,5.0,2375000.0
LD10232,CN1039,Pune,DSA,Business Loan,2026-01-24,False,False,,0.0
LD10233,CN1058,Pune,Direct Sales,Personal Loan,2026-01-13,False,False,,0.0
LD10234,CN1018,Delhi NCR,Aggregator,Home Loan,2026-02-02,False,False,,0.0
LD10235,CN1005,Delhi NCR,Direct Sales,Home Loan,2026-01-18,False,False,,0.0
LD10236,CN1024,Hyderabad,Aggregator,Home Loan,2026-05-31,True,False,12.0,0.0
LD10237,CN1037,Bangalore,Aggregator,Home Loan,2026-01-01,True,False,6.0,0.0
LD10238,CN1054,Delhi NCR,Direct Sales,LAP,2026-02-14,True,False,6.0,0.0
LD10239,CN1032,Pune,Digital Partner,Personal Loan,2026-04-02,False,False,,0.0
LD10240,CN1000,Pune,Direct Sales,Home Loan,2026-05-31,True,True,3.0,361000.0
LD10241,CN1021,Mumbai,Aggregator,Business Loan,2026-05-15,True,True,16.0,1956000.0
LD10242,CN1059,Pune,DSA,Personal Loan,2026-04-26,True,False,3.0,0.0
LD10243,CN1024,Hyderabad,Aggregator,LAP,2026-04-28,False,False,,0.0
LD10244,CN1006,Bangalore,Aggregator,Personal Loan,2026-01-16,False,False,,0.0
LD10245,CN1058,Pune,Direct Sales,Business Loan,2026-04-20,False,False,,0.0
LD10246,CN1007,Bangalore,DSA,Business Loan,2026-04-24,True,True,21.0,413000.0
LD10247,CN1014,Delhi NCR,Aggregator,Home Loan,2026-03-12,False,False,,0.0
LD10248,CN1039,Pune,DSA,LAP,2026-04-08,False,False,,0.0
LD10249,CN1004,Chennai,Direct Sales,LAP,2026-04-27,False,False,,0.0
LD10250,CN1049,Pune,Digital Partner,Business Loan,2026-01-26,False,False,,0.0
LD10251,CN1054,Delhi NCR,Direct Sales,Personal Loan,2026-05-22,False,False,,0.0
LD10252,CN1025,Chennai,Aggregator,Home Loan,2026-04-21,False,False,,0.0
LD10253,CN1059,Pune,DSA,Home Loan,2026-04-16,True,True,15.0,1838000.0
LD10254,CN1054,Delhi NCR,Direct Sales,LAP,2026-04-20,True,True,6.0,1733000.0
LD10255,CN1045,Mumbai,Digital Partner,Business Loan,2026-01-18,True,True,15.0,287000.0
LD10256,CN1007,Bangalore,DSA,LAP,2026-02-03,True,True,19.0,1426000.0
LD10257,CN1013,Chennai,Aggregator,Personal Loan,2026-04-16,False,False,,0.0
LD10258,CN1039,Pune,DSA,Business Loan,2026-01-14,False,False,,0.0
LD10259,CN1009,Chennai,Aggregator,LAP,2026-04-01,True,True,6.0,1659000.0
LD10260,CN1021,Mumbai,Aggregator,Home Loan,2026-01-28,True,True,5.0,1918000.0
LD10261,CN1058,Pune,Direct Sales,Home Loan,2026-04-20,False,False,,0.0
LD10262,CN1043,Bangalore,Direct Sales,Personal Loan,2026-03-10,True,True,11.0,2308000.0
LD10263,CN1003,Chennai,Digital Partner,LAP,2026-01-02,True,True,23.0,1032000.0
LD10264,CN1049,Pune,Digital Partner,Home Loan,2026-01-08,True,True,14.0,1079000.0
LD10265,CN1046,Delhi NCR,Aggregator,LAP,2026-02-10,True,True,20.0,1511000.0
LD10266,CN1044,Chennai,DSA,Personal Loan,2026-02-09,True,True,23.0,250000.0
LD10267,CN1049,Pune,Digital Partner,Business Loan,2026-04-19,True,True,10.0,578000.0
LD10268,CN1007,Bangalore,DSA,Personal Loan,2026-03-30,True,True,23.0,1503000.0
LD10269,CN1000,Pune,Direct Sales,LAP,2026-01-12,True,False,3.0,0.0
LD10270,CN1024,Hyderabad,Aggregator,Personal Loan,2026-02-22,True,True,6.0,1922000.0
LD10271,CN1010,Pune,Digital Partner,LAP,2026-03-25,True,True,15.0,480000.0
LD10272,CN1008,Bangalore,Digital Partner,Business Loan,2026-05-17,False,False,,0.0
LD10273,CN1052,Delhi NCR,DSA,LAP,2026-01-19,True,True,15.0,96000.0
LD10274,CN1001,Chennai,Digital Partner,Personal Loan,2026-03-22,False,False,,0.0
LD10275,CN1052,Delhi NCR,DSA,Business Loan,2026-04-17,True,True,12.0,471000.0
LD10276,CN1057,Pune,DSA,Business Loan,2026-04-03,True,True,9.0,1117000.0
LD10277,CN1050,Hyderabad,Digital Partner,Business Loan,2026-05-15,True,False,25.0,0.0
LD10278,CN1047,Pune,DSA,LAP,2026-02-26,True,True,18.0,1601000.0
LD10279,CN1026,Pune,Aggregator,Home Loan,2026-03-31,True,False,22.0,0.0
LD10280,CN1031,Delhi NCR,Direct Sales,Home Loan,2026-03-02,True,True,7.0,1526000.0
LD10281,CN1024,Hyderabad,Aggregator,Personal Loan,2026-02-15,False,False,,0.0
LD10282,CN1010,Pune,Digital Partner,Business Loan,2026-04-29,False,False,,0.0
LD10283,CN1001,Chennai,Digital Partner,Business Loan,2026-05-25,False,False,,0.0
LD10284,CN1007,Bangalore,DSA,LAP,2026-03-22,True,True,16.0,1597000.0
LD10285,CN1040,Mumbai,Digital Partner,LAP,2026-01-15,True,True,16.0,1157000.0
LD10286,CN1023,Delhi NCR,Digital Partner,Personal Loan,2026-04-05,False,False,,0.0
LD10287,CN1046,Delhi NCR,Aggregator,Personal Loan,2026-01-24,False,False,,0.0
LD10288,CN1004,Chennai,Direct Sales,Business Loan,2026-04-29,False,False,,0.0
LD10289,CN1004,Chennai,Direct Sales,Personal Loan,2026-04-26,False,False,,0.0
LD10290,CN1048,Mumbai,Digital Partner,Home Loan,2026-03-24,True,True,3.0,1154000.0
LD10291,CN1029,Bangalore,Direct Sales,LAP,2026-01-22,True,True,9.0,1784000.0
